No.,목차,도메인,질문수,대표질문,질문예시1,질문예시2,질문예시3
1,보험금청구,보험금 보장,65,앱으로 보험금 청구할 때 최대 금액이 얼마인가요?,앱으로 보험금 청구할 때 최대 금액이 얼마인가요?,보험금 청구할 때 수익자도 같이 바꿀 수 있나요?,사고 보험금도 세금을 떼나요?
2,명의변경(계약자/수익자 변경),명의변경,37,재사수익자 은행에서 개인으로 변경할 때 우편접수에 필요한 서류는?,재사수익자 은행에서 개인으로 변경할 때 우편접수에 필요한 서류는?,"중도급부 발생 전에 만기수익자 사망했고, 급부 발생 이후에 만기수익자 변경할 때 필요한 서류는 무엇인지?",공공기관제출용 수익자 명의변경사실 확인서 발행을 전화 신청 방법은?
3,자동부활,계약정보,28,자동부활 보험료 납입 시 본인계좌 이외에도 가능한지?,자동부활 보험료 납입 시 본인계좌 이외에도 가능한지?,"자동부활로 계약자 내방 하였으나, 피보험자 수익자의 주소정보가 등록되어 있지 않은 것으로 전산 표시되는 경우 어떻게 처리 하나요?","소멸시효 경과 건 자동부활 요청 시, 대응방법은?"
4,보험계약대출 신청,대출,26,"전화로 보험계약대출 신청 시, 최대 한도는?","전화로 보험계약대출 신청 시, 최대 한도는?",AIA+에서 보험계약대출 시 당일 상환 가능한가요?,4천만원 대출받으려고 하는데 휴대폰 본인인증만 받으면 되나요?
5,감액/특약삭제,계약정보,24,감액반제금 계약자계좌외 지급가능한가요(통신채널기준),감액반제금 계약자계좌외 지급가능한가요(통신채널기준),미성년자 감액시 전화접수할 때 어떻게 하나요?,"비흡연 할인 중인 계약인데, 비흡연할인 적용 가능한 기준금액 밑으로 감액하면 할읹적용은 어떻게 돼?"
6,(면대면채널)펀드변경,변액 펀드,19,목표수익률 변경 대상 상품 및 변경 가능 수익률은?,목표수익률 변경 대상 상품 및 변경 가능 수익률은?,목표수익률 변경 시 바로 적용되나요?,펀드변경은 몇 번까지 신청할 수 있어?
7,휴대폰 소액결제,보험료납입,15,휴대폰소액결제로 추가납입 보험료도 결제되나요?,휴대폰소액결제로 추가납입 보험료도 결제되나요?,휴대폰소액결제로 부활보험료도 결제되나요?,당사에 보험이 여러건이면 휴대폰소액결제도 합산출금 되나요?
8,청약철회,제지급,15,청약철회를 이메일로 접수할수 있나요?,청약철회를 이메일로 접수할수 있나요?,청약철회 취소접수 방법 알려줘. 전화로접수한 건이야,청약철회 기간 내 계약자 변경되어 계약자의 연령이 변경 된 경우 철회가능기간도 변경되나요?
9,비 흡연 할인 특약,계약정보,14,비흡연할인특약 가입된 계약은 감액이 불가한가요?,비흡연할인특약 가입된 계약은 감액이 불가한가요?,건강플러스 할인율?,청약 시 당뇨 고지했으면 건강플러스 할인 신청이 안되는지?
10,일반부활,계약정보,14,일반부활도 심사 후 거절 될 수 있나요?,일반부활도 심사 후 거절 될 수 있나요?,일반부활 가능 기간이 어떻게 되나요?,일반부활 접수 방법은?
11,계좌 자동이체,보험료납입,14,지정한 자동이체 일에 이체가 안 되면 또 언제 출금이 되는지요?,지정한 자동이체 일에 이체가 안 되면 또 언제 출금이 되는지요?,은행에서 자동이체 등록 시 언제 이체가 되나요?,외국인이 국내 계좌 개설 가능하나요? 이 통장으로 자동이체도 가능 하나요?
12,송금계좌등록,제지급,13,계약자가 미성년자인데 편부모인 경우 제지급 지급계좌 친권자 계좌로 받을 때 방법,계약자가 미성년자인데 편부모인 경우 제지급 지급계좌 친권자 계좌로 받을 때 방법,송금계좌로 자동 등록되는 기준조건이 뭐야?,송금계좌 자동등록 조건에서 이체실적은 보험료를 말하는 건가?
13,"증권, 약관 재발행",계약정보,12,부활 후 증권 재발행이 되나요?,부활 후 증권 재발행이 되나요?,실효된 계약도 증권재발행이 되나?,해지계약 증권재발행 방법은?
14,해지문의,계약해지,12,AIA+에서 보험 해지 가능한가요?,AIA+에서 보험 해지 가능한가요?,"계약자가 미성년자인데, 엄마가 전화로 해약을 요청했어. 엄마계좌로 해약환급금 지급이 가능할까? 통신계약이야",언제 계약건부터 통신수단해지 여부 상관없이 해약접수 가능한지 알려줘
15,주소/연락처 변경,고객정보,12,우편물 수령지를 해외주소지로 등록안해주는 이유가 뭔가요,우편물 수령지를 해외주소지로 등록안해주는 이유가 뭔가요,계약자가 치매상태로 가족이 전화상 주소지변경을 요청하는 경우 변경처리 가능한가,"계약의 체결을 위한 개인신용정보 수집.이용, 조회, 제공 동의 항목에서 수집 이용할 개인정보의 내용이 무엇인지?"
16,일시납입중지 신청,보험료납입,12,보험료 납입중지 기능을 설명해줘,보험료 납입중지 기능을 설명해줘,골든초이스연금 상품은 일시납입중지 신청을 언제부터 할 수 있어?,변액유니버셜 상품인데 납입중지 기간 설정 가능한가요?
17,헬스케어 서비스,헬스케어서비스,12,통신채널 2025년 3월에 가입한 백세시대꼭하나건강보험갱신형의 AIA 헬스케어 서비스 가입 조건은?,통신채널 2025년 3월에 가입한 백세시대꼭하나건강보험갱신형의 AIA 헬스케어 서비스 가입 조건은?,전문의료진 실시간 건강상담 내용이 뭐더라?,차량에스코트 서비스 내용 좀 알려줘
