[ QA Check & Talk Point ],,,,,,
No.,목차,Check Point,,Talk (example),,,고객예상질문1,고객예상질문2,고객예상질문3
1,주소/연락처 변경,1. 변경할 주소 및 연락처 복창 또는 재확인 ,,변경할 주소 확인 부탁 드립니다 / OO번~ 맞습니까? (복창),,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,"2. 주소변경 시 전화번호 변경여부 확인 
단, 인입번호가 당사 등록된 연락처와 동일하고 해당번호만 등록된 경우 탐색 제외",,"다른 변경사항은 더 없으십니까? (등록된 자택 전화번호는 0000번인데, 변경사항 없으십니까?)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,"3. 주소, 연락처 동일하게 등록된 경우 일괄변경 or 삭제여부 확인",,업무지에 예전 자택주소가 등록되어 있는데 삭제해도 될까요?,,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,"4. 연락처 변경 시 ARS를 통한 본인 인증 방법 안내 
※ 휴대폰 SMS 인증 시 본인인증 동의 필수
※ 3회 이상 실패 시, 본인인증 5회 오류 시 당일 전화신청 불가 안내",,"혹시 고객님 사용하시는 휴대폰이 본인 명의이세요? (yes)
금융사고 예방을 위해 고객님 명의의 휴대폰을 통한 본인 인증 후 업무처리 진행을 해드릴텐데요~
먼저, 휴대폰본인확인 서비스 이용과 관련하여 고객님의 정보를 수집.이용.취급위탁하고, 고유식별정보를 처리 하는 것에 동의 하십니까? (동의 필수)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,5. 우편물 수령지 확인,,변경 된 주소지로 우편물을 받아보시겠습니까?,,,주소나 연락처 변경은 어떻게 진행하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,변경 반영은 언제부터 확인할 수 있나요?
2,"증권, 약관 재 발행 ","1. 총 가입 건 수 안내 및 요청 계약 확인 (재발행 요청 시 최근 발행 이력 확인)
※ 실효계약 증권재발행시 '보장 불가' 필수 안내",,"
1) 스마트폰 문자 또는 이메일로 받아보실 수 있는데 어떤게 좋으세요? 
2) 10분 이내에 빠르게 확인하실 수 있도록, 고객님 휴대폰에서 홈페이지 AIA+ 통해 보내 드려도 될까요? 
<네>10분 후에 홈페이지 AIA+ 로그인 후 바로 확인 가능하십니다.
*AIA+ 로그인 > 증명서신청클릭 > 가입증서발행확인 클릭 > 증권확인 가능
(우편/팩스 문의 시: 분실방지와 환경보호를 위해 종이 증권 대신 휴대폰 문자나 이메일로 보내드리고 있습니다. 휴대폰으로 편하게 받아보시는 게 어떠세요? )",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,2. 약관 재발행 요청 시 홈페이지로 확인 가능 안내 및 반려 시도,,당사 홈페이지를 통해 내용 확인 및 출력이 가능 한데요. 이 방법을 안내 해 드리는 건 어떨까요?,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,3. 수령방법 및 소요시간 안내,,"• AIA+ 수령 : 10분 이내 확인하실 수 있습니다. 
• 이메일 수령: 즉시(10분 이내) 받아보실 수 있습니다. 
• LMS 수령: 10~15분 이내 확인하실 수 있습니다. (열람 시 비밀번호는 계약자 '생년월일' 6자리 입니다.)
• 팩스 수령: 즉시 발송 가능합니다. 
• 우편 수령: 평일기준 5~7일 정도에 받아보실 수 있습니다.",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
3,계좌변경,1. 총 가입 건 수 안내 및 변경 요청 계약 확인 ,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"2. 새로운 계좌 '본인 명의' 여부 확인
2-1. 본인 명의 계좌 아닐 경우 가능 범위 확인",,변경 할 계좌가 계약자님 본인 계좌 입니까?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,"3. 새로운 계좌 은행명, 계좌번호 확인 및 WL 검증
※ 예금주≠계약자인 경우, 예금주 주민등록번호 확인 및 WL 검증",,"변경할 계좌의 은행명과 계좌번호 말씀해 주시겠어요? 
(내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳이 모두 한국 맞으십니까?
(외국인인 경우) 실례지만 국적이 어떻게 되십니까? 실제 거주하시는 곳이 어떻게 되십니까? 영문 성함을 말씀 해주실 수 있을까요?
 ※ 아웃 바운드의 경우 계약자=예금주 경우에도 예금주 주민번호 13자리 확인",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,4. 이체일 확인,,"이체일은 5일, 10일, 15일, 20일, 25일 중 지정하실 수 있는데 몇 일로 하시겠습니까? 
(보험료 이체일 확인 시, 말일자 선안내 X / 단, 말일자 기등록 건은 그대로 유지 가능) 
이체일 말일로 요청하는 경우 1차 반려 필수
말일은 잔고 부족 등으로 보험료가 미이체 되더라도 당월 안에 다시 청구 되는 날이 없어 불편하실 수 있습니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"5-1. (기대출금 있는 경우) 보험계약대출금 이자 계좌 변경여부 확인
5-2. (VDIP 상품 가입 & 바이탈리티 1.1 회비 납부중인 경우) 바이탈리티 회비납부계좌 변경여부 확인 ",,"5-1. 대출이자 납입계좌도 동일하게 변경 하시겠어요?
5-2. 바이탈리티 회비 납부 계좌도 함께 변경 하시겠어요? ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,6. 금결원 녹취 전송멘트,,"[금융결재원 녹취 ARS연결]
자동이체 등록 확인을 위한 ARS를 연결 해드리겠습니다. 요청하신 정보가 맞으면 1번 동의를 누르신 후 잠시 기다려 주시기 바랍니다. -> ARS연결
※ ARS사용 불가 시 녹취로 대체
   AIA생명에서 출금하는 계좌를 예금주 000님의 00은행, --------번 계좌로 요청하셨습니다. 맞으십니까? 
   (YES 답변 필수)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,"7. 자동이체 출금 적용 월 및 이체금액 안내 
7-1. 미납 분 있을 시 추가 청구일자 안내  
7-2. 납입방법 변경시 자동이체 할인적용 여부 안내",,"O월 보험료부터는 새로운 계좌에서 00일자에 보험료 0000원이 이체됩니다. (미납 있을 시 추가 청구일자 안내)
(C->E 경우 자동이체 할인 구분 안내)
[2019.04.01 이전 계약] 계좌 자동이체 이용에 따른 할인된 보험료 0000원이 이체 됩니다.
[2019.04.01 이후 계약] 보험료 0000원이 이체 됩니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,," ※ 자동이체 등록 및 변경 업무 시 계약자와 예금주(계,납 상이 시) 모두에게 ""이체 금액""에 대한 안내 필수 (예금주 동의 녹취 시에도 안내 필수) 
 ※ 계좌변경일이 자동이체 신청 마감일이며, 익일이 자동이체 신청일 일 경우 구계좌에서 출금되지 않을 수 있음 안내
 ※ 지정된 이체일에 미이체 시 5일 단위 재청구, 계속보험료 입금 시 이체일 전일까지 현금 입금 시 정상출금 가능 안내",,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,8. (월 추가납입 건) 자동이체 재 등록시 추가납입 유지 여부 확인,,월 추가납입은 기존 그대로 유지하시겠습니까?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,9. 요청 건 이외에 관련 계약 여부 탐색,,요청하신 계약 건 외에 다른 변경 할 계약 건은 없으십니까?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,※ (C->E 경우) 카드 후불결제 안내 ,,전월(당월) 보험료는 이미 카드로 승인되어 다음달 카드사 결제내역에 포함될 수 있으니 참고 바랍니다,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
4,카드변경,1. 총 가입 건 수 안내 및 변경 요청 계약 확인  ,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"2. 새로운 카드 '본인 명의’여부 확인 
2-1. 본인 명의 카드 아닐 경우 가능 범위 확인 ",,변경 할 카드가 계약자님 본인 카드 입니까?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,3. (VDIP 상품 가입 & 바이탈리티 1.1 회비 납부중인 경우) 바이탈리티 회비납부카드 변경여부 확인,,바이탈리티 회비 납부 카드도 함께 변경 하시겠어요? ,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"4. 새로운 카드 카드사명, 카드번호, 유효기간 확인 및 WL 검증
※ 예금주≠계약자인 경우, 예금주 주민등록번호 확인 및 WL 검증
※ 계약자 인입번호와 등록번호 일치여부 확인 후 진행",,"변경 할 카드사명과 카드번호,유효기간 말씀 부탁 드립니다. (복창)
(내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳이 모두 한국 맞으십니까?
(외국인인 경우) 실례지만 국적이 어떻게 되십니까? 실제 거주하시는 곳이 어떻게 되십니까? 영문 성함을 말씀 해주실 수 있을까요?
 ※ 아웃 바운드의 경우 계약자=예금주 경우에도 예금주 주민번호 13자리 확인",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
