No.,Question,Domain_최종,목차,매핑상태
1,앱으로 보험금 청구할 때 최대 금액이 얼마인가요?,보험금 보장,보험금청구,MATCHED
2,보험금 청구할 때 수익자도 같이 바꿀 수 있나요?,보험금 보장,보험금청구,MATCHED
3,사고 보험금도 세금을 떼나요?,보험금 보장,보험금청구,MATCHED
4,실손 통원의료비 청구 시 필요한 병원 서류가 무엇인가요?,보험금 보장,보험금청구,MATCHED
5,보험금서류에 개인정보 동의서 미비됐다는데 어떻게 보완해요?,보험금 보장,보험금청구,MATCHED
6,"약관 수술종류에 나오는 흡인, 천자는 무슨 의미야?",보험금 보장,보험금청구,MATCHED
7,치아파절이 재해골절로 보장되나요?,보험금 보장,보험금청구,MATCHED
8,보험금청구권은 몇 년까지 유효한가요?,보험금 보장,보험금청구,MATCHED
9,해외에서 사고 발생시 보험보장이 되나요?,보험금 보장,보험금청구,MATCHED
10,충천치료 후 치아보험 청구 시 필요한 병원서류는 무엇인가요?,보험금 보장,보험금청구,MATCHED
11,상속을 포기한 경우 보험금청구도 할 수 없나요?,보험금 보장,보험금청구,MATCHED
12,표적항암약물허가치료 보험금 청구시 필요한 병원서류가 뭔가요?,보험금 보장,보험금청구,MATCHED
13,"사망 시 수익자가 법정상속인인 경우, 태아도 법정상속 권한을 갖나요?",보험금 보장,보험금청구,MATCHED
14,질병으로 입원비 청구시 구비서류가 어떻게 될까요?,보험금 보장,보험금청구,MATCHED
15,뇌출혈 진단비 청구시 구비서류는 어떻게 될까요?,보험금 보장,보험금청구,MATCHED
16,치매진단비 청구시 구비서류가 어떻게 될까요?,보험금 보장,보험금청구,MATCHED
17,하비갑개축소술은 수술비 보장이 되나요?,보험금 보장,보험금청구,MATCHED
18,인공임신중정술은 보장이 가능한가요?,보험금 보장,보험금청구,MATCHED
19,석회화건염 체외충격파쇄석술을 받았는데 보장이 되나요?,보험금 보장,보험금청구,MATCHED
20,요실금 보톡스 주입술은 수술비 보장이 되나요?,보험금 보장,보험금청구,MATCHED
21,손가락에 관혈적 내고정술을 한 경우 수술 몇 종에 해당 되나요?,보험금 보장,보험금청구,MATCHED
22,치루 절제술은 몇 종 수술에 해당 하나요?,보험금 보장,보험금청구,MATCHED
23,인공수정체 교환술은 몇 종 수술로 보장이 되나요?,보험금 보장,보험금청구,MATCHED
24,레이저 후발백내장 수술을 받았는데 몇 종 수술로 보장이 되나요?,보험금 보장,보험금청구,MATCHED
25,레이저 홍채 절개술을 받은 경우 수술비 보장이 되나요?,보험금 보장,보험금청구,MATCHED
26,"치과에서 치조골 증대술을 받은 경우, 수술비 보장이 되나요?",보험금 보장,보험금청구,MATCHED
27,야그레이저후낭절개술의 경우 수술비 몇종에 해당 되나요?,보험금 보장,보험금청구,MATCHED
28,치핵근본수술을 한 경우 몇 종 수술로 보장이 되나요?,보험금 보장,보험금청구,MATCHED
29,족지간 오른손 신경종에 대하여 제거술 보장되나요?,보험금 보장,보험금청구,MATCHED
30,2002년 10월 30일에 가입한 AIG다보장의료보험에서 발정술 보장 가능한가?,보험금 보장,보험금청구,MATCHED
31,지아파절도 재해골절진단자금으로 보장되나요?,보험금 보장,보험금청구,MATCHED
32,완전정복암보험에서 여성특정암 종류가 뭐야,보험금 보장,보험금청구,MATCHED
33,완전정복암보험에서 3대암 종류가 뭐야,보험금 보장,보험금청구,MATCHED
34,2006년 10월 1일 가입한 다보장의료보험에서 남성생활질환에 관절염이 들어가나?,보험금 보장,보험금청구,MATCHED
35,혈액암에 대하여 항암 치료 목적으로 중심정맥관삽입술 시행시 보장되나요?,보험금 보장,보험금청구,MATCHED
36,"암 방사선 치료 시, 암 수술비를 지급하는 조건은 무엇인가요?",보험금 보장,보험금청구,MATCHED
37,갑상선 결절 고주파 절체술의 경우 보장이 되나요?,보험금 보장,보험금청구,MATCHED
38,안검하수증으로 안검교정술을 한 경우 보장될까?,보험금 보장,보험금청구,MATCHED
39,완전정복암보험의 3대특정암에서 보장하는 암종류가 무엇인가요?,보험금 보장,보험금청구,MATCHED
40,랑게르한스조직구증도 암으로 보장이 되나요?,보험금 보장,보험금청구,MATCHED
41,암 감마나이프 치료를 받은 경우 암 수술비 보장이 되나요?,보험금 보장,보험금청구,MATCHED
42,퍼펙트의료보험 주피보험자가 사망할 경우 종피보험자만으로 유지가 되나요?,계약정보,(면대면채널)보험 종목 변경,MATCHED
43,슬관절 왼쪽 오른쪽 동시에 수술한 경우 보장이 한번만 되나요?,보험금 보장,보험금청구,MATCHED
44,법정 전염병이 뭔가요?,보험금 보장,보험금청구,MATCHED
45,제1군 전염병이 뭔가요?,보험금 보장,보험금청구,MATCHED
46,A형 간염은 질병인가요?,보험금 보장,보험금청구,MATCHED
47,서울 종로구에 있는 키오스크청구가능병원을 알려주세요,보험금 보장,보험금청구,MATCHED
48,관상동맥우회술이 뭔가요,보험금 보장,보험금청구,MATCHED
49,경계성종양이란,보험금 보장,보험금청구,MATCHED
50,뇌졸증이 뭐지?,보험금 보장,보험금청구,MATCHED
51,뇌출혈과 뇌경색이 뭔지 알려줘,보험금 보장,보험금청구,MATCHED
52,림프성 백혈병은 고액암인가요?,보험금 보장,보험금청구,MATCHED
53,분류기호 C15에 해당하는 질병은 무엇인가요?,보험금 보장,보험금청구,MATCHED
54,"암 진단 당시에는 한국표준질병 분류에 해당하였는데, 이후 분류가 개정되어 해당하지 않게 되었습니다. 이 경우 보험금 지급 여부에 변동이 있나요?",보험금 보장,보험금청구,MATCHED
55,본태성(출혈성) 혈소판혈증(분류번호 D47.3)은 어떤 질병으로 분류되나요?,보험금 보장,보험금청구,MATCHED
56,분류기호 D37에 해당하는 질병은 무엇인가요?,보험금 보장,보험금청구,MATCHED
57,C50 코드는 무슨 질병이야,보험금 보장,보험금청구,MATCHED
58,C91 코드는 무슨 질병?,보험금 보장,보험금청구,MATCHED
